kavfs,Kaspersky
avgwd,AVG
AVGIDSAgent,AVG
vsserv,BitDefender
bdagent,BitDefender
trufos,BitDefender
ignis,BitDefender
McMPFSvc,McAfee
avast! Antivirus,Avast
Avast! Firewall,Avast
avast! Standard Shield Support,Avast
epfw,ESET
ekrn,ESET
Norton Internet Security,Norton
Norton Management,Norton
vgk,Vanguard
vgc,Vanguard
faceit,FaceIt
BadlionAnticheat,Badlion
EasyAntiCheat_EOS,EasyAntiCheat Free version
EasyAntiCheat,EasyAntiCheat
BEDaisy,Battleye
mbam,Malwarebytes Anti-Malware
pavboot,Panda Antivirus Boot Driver
klif,Kaspersky Lab Intermediate Filter
aswSP,Avast! Antivirus
Symantec Endpoint Protection,Symantec Endpoint Protection
TmXPFlt,Trend Micro Anti-Virus
